Title,Comments
How do I set up LoRaWAN between ESP32 and Dragino 433Mhz gateway?,"Assuming that you use LoRaWAN, LoRaWAN requires a network and an application server.

You said the you want to use a private network, are you running these servers on your network?

If yes did you register your device on the application server?

Are you aware that in LoRaWAN, the device does not connect to the gateway but with the application server.

ANY lorawan gateway (even the one owned by other people) within transmission range of your device will receive your encrypted message and forward the encrypted message to their network server (the gateway do not know the network and application keys.

When you said that your device was able to receive messsages, can you explain how did you do that? was it lorawan or lora messages?"
Security issue on Iot,"And if we knew the answers to all that, we would be millionaires and not on here ;)

If you need a place to start looking for all this, you should peruse through past IOT conference presentations about security. Plenty of stuff out there about this. Look for ""IOT Security"", ""IIOT Security"", and ""IOT Data Integrity""."
IoT Market Research Opportunity,"Hi there. Am interested as I work on IoT products, but would you be able to share more details about your research company and how you will process our data? Apologies for being paranoid. I think your audience will feel much more comfortable and confident in the survey knowing how their personal information will be used"
Recommendation for an online simulator.,Try [TinkerCad Circuits](https://www.tinkercad.com/learn/circuits)
How IOT device connect to secure wifi when the password is not in the code?,"There are several ways this can happen.

One way is the phone uses Bluetooth to talk to the device. Another is the that the device first acts like a wifi access point, and the phone temporarily connects to it (and not the normal network) and configures the device. Once that process is done the device and the phone re-connect to the the normal wifi network.

There are other ways as well, but I think those are the two most common (if the device itself is connecting to the secure network, if the device is using some sort of mesh network to talk to a hub, then the hub is connected to the wifi, that is a very different process.)"
How IOT device connect to secure wifi when the password is not in the code?,"I also discovered while reverse engineering my drone that it communicates at both 2.4ghz and 5.8ghz WiFi depending on what it’s doing. 
I doubt that IOT devices do this. like someone else said it’s probably just using a different communication protocol."
What does your iot/edge computing network look like?,"Without robust update management for most IOT applications, the safest ones have inside-out security models but there aren't very many mature options on the market.  Kubernetes is out there but looks like a steep learning curve to me."
What does your iot/edge computing network look like?,Well many opensource projects are running in IoT for edge computing
What does your iot/edge computing network look like?,Maybe this? SkyFoundry.com
Raspberry Pi as a cloud server for IoT,"Personally, I'm doing everything locally in Node-Red with MQTT on a Pi Zero W and programming all of my sensors and such from scratch with Arduino. I have no interest in the cloud, plus I have plenty of Raspberry Pi's and a VMWare server at home, don't need the cloud!

Most people will tell you to look into Home Assistant and Tasmota. I haven't tried either of those, myself, since I'm looking to roll-my-own solution, but they're wildly popular on the Pi. 

[Here's an article](https://www.electromaker.io/blog/article/9-best-raspberry-pi-smart-home-software-options) with some good choices for software to run on the Pi for IoT/Home Automation."
Raspberry Pi as a cloud server for IoT,I use AWS GreenGrass on a RPi4.
Raspberry Pi as a cloud server for IoT,"Have a look for sure at node red, openhab and mqtt messaging for your iot devices."
Raspberry Pi as a cloud server for IoT,Nice! Good luck!
ubuntu mate 18.04 remote RDP connection & ssh configuration fixed xrdp session: Login failed for display 0 in rasberry pi 3 B,Try x2go. Xrdp is just frustrating on ubuntu. I got RPI Zero worked as host but can't solve black screen issue on my mint as host after all the hours wasted on it.
Any sensors for speed monitoring? ( speeds ~ 200-300 mm/minute),Maybe a Laser Surface Velocimeter?  These guys sell industrial grade units: [https://www.polytec.com/us/](https://www.polytec.com/us/)
Any sensors for speed monitoring? ( speeds ~ 200-300 mm/minute),What about measuring distance and performing calculus?
Any sensors for speed monitoring? ( speeds ~ 200-300 mm/minute),On what device? Can't you use an accelerometer then estimate the speed?
Any sensors for speed monitoring? ( speeds ~ 200-300 mm/minute),You really need to be a lot more specific on the application and requirements if you want a good answer.
Real Time Location Services,Or anyone had any experience with vendors?
Real Time Location Services,"Not much to go on here....

What is the time resolution?  What is the location precision?  Do you need to locate something going thousands of KPH within 1 mm within the last second? Do you need to locate something that might not even be moving within 50 feet or so within the last 5 minutes??

So no beacons and no anchors....can we do a query and have ""it"" respond back with GPS readings?  Will they be within cellular phone range? Or are you tracking ocean-going containers via satellite??"
Free Open Source AI Workshop Presented by Eclipse Foundation,Thanks for sharing
Connection Meshlium / waspmote to Amazon IoT,"Your select FROM statement is incorrect. You must select data from the Topic your device is publishing to. What Topic do you publish on?

For example, your router might be publishing on /data and if so, your Select statement would be ""Select \* from /data"" etc - if you don't know what topic you're publishing on, use the ""Test"" feature in the console and subscribe to # to see all the incoming data and that will show you the topic you need to use."
IoT for Cattle monitoring,"Yeah, I think these people have something similar to what you're looking for: [https://halterhq.com/](https://halterhq.com/)   


They aren't the only ones either."
IoT for Cattle monitoring,"Here's another
https://www.moovement.com.au/"
IoT for Cattle monitoring,"Sodaq has the sodaq cattle tracker which works with LoRa out of the box. But it does have a solar panel... If you will be running on batteries with GPS and some kind of communication, you either will have a really low update frequency or just not a long battery life."
IoT for Cattle monitoring,"If you have a lorawan gateway, a yuppy sensor from digital matters should work."
IoT for Cattle monitoring,https://www.soracom.io/customers/agriculture/iot-enabled-smart-cows/
IoT for Cattle monitoring,"We have a number of solutions including backhaul targeted at areas of the world where internet connections might not be amazing, I'd be happy to have a chat. If you're interested?

Info@mockingbirdconsulting.co.uk is the best email address to use, and we can provide devices to compliment the cattle tracking as well as part of the offering such as gate monitoring and pasture moisture etc."
Are there any good books for IOT Gateways or about IOT in general?,https://www.amazon.com/IoT-Edge-Computing-Architects-communication/dp/1839214805/ref=nodl_
Are there any good books for IOT Gateways or about IOT in general?,"O'[Reilly.com](https://Reilly.com) has some great book and video resources that will get you up to speed quickly.  AWS, GCP, and Azure have also built out great IoT services and have documentation and tutorials available."
Are there any good books for IOT Gateways or about IOT in general?,"General overview: https://www.edx.org/micromasters/curtinx-internet-of-things-iot

Intro from O'Reilly: https://learning.oreilly.com/videos/internet-of-things/9780134667577

Build your own IoT platform(there are also tons of other books): https://learning.oreilly.com/library/view/build-your-own/9781484244982/

AWS IoT fundamental series: https://aws.amazon.com/tr/blogs/iot/get-started-with-the-iot-foundation-series/

If you want to dig deeper, you should look at Apache and Eclipse IoT architectures."
Are there any good books for IOT Gateways or about IOT in general?,I don't know about books but many tutorials are there
Are there any good books for IOT Gateways or about IOT in general?,Resources are also available in google books
Are there any good books for IOT Gateways or about IOT in general?,"I've heard the second machine age is a really good read.  If your interest is in building iot devices/working on iot projects though I highly suggest getting a raspberry pi or an Arduino and a starter kit (which will provide a veriety of sensors to learn with) and lear that way! There are so many resources online for getting started and I find one of the best way to learn is by doing. There are a variety of different cloud platforms you can use as well, I suggest looking into AWS if you want to tie a cloud solution into your project.  Amazon offers many cloud solutions for helping connect your iot device to the world wide web.  I wish you all the best in your iot journey! :)"
LoRa vs xBee for a cheap (flood) mesh network without Internet access?,Consider using BLE 5.1. It has some impressive range and lower power consumption.
LoRa vs xBee for a cheap (flood) mesh network without Internet access?,"There are quite a number of options for mesh networking.  And some are going to be easier to implement than others.

That said they're all going to be dealing with concrete physics/information theory as limits.   https://en.wikipedia.org/wiki/Shannon–Hartley_theorem

For example. On one link increasing transmit power may increase the bandwidth.  But that ""signal"" will end as ""noise"" on another link, and actually reduce the bandwidth.

I would concentrate on ease of implementation over theoretical highest bandwidth.  It will be better to get something working over possibly having the best."
Separate router for iot devices?,"Generally not. A router from twenty years ago might have trouble with that many devices , but anything made in the last ten years that isn’t a travel router (airport express first and second generation, things advertised as travel routers) should handle above 50 devices without a second thought.

How much data do you think your devices are pushing? Most of the time they should be doing very little in terms of traffic, less than a modern web page.

I would say, set up a separate SSID and frequency for them, just to ensure they get a good connection. People who use 2.4ghz and 5ghz with the same ssid and have devices with only a 2.4 ghz radio find the devices sometimes lose connection trying to join the 5ghz radio at the router. 

Other people even set up VLANs just for the devices. Depending on what you’re doing that may be unnecessary."
Separate router for iot devices?,No it shouldn't be an issue.
Separate router for iot devices?,I don't think it will cause problems
Your IoT devices may be causing your internet blackouts - my voyage of discovery,">I Googled ""can lots of IoT devices cause a modem to disconnect from the Internet?""

With all due respect, you should not be giving networking advice on the internet if you can't answer questions like that for yourself.

The title of your article is both hyperbolic and wrong. You discovered an overheating modem, and the limitations of router+modem combos—nothing to do with IoT devices. Your ultimate fix (strapping a fan to it), while better than nothing, is a flaky patch at best.

Saying the cause was IoT is like saying the kitchen caught fire in a restaurant because the customers ordered food. And then you point a water hose at it and tell us about your “fix.”"
How to make your own internet connected t-shirt with LEDs that respond to realtime data,I am a fairly big geek but if i'd see anyone wearing this in public i would instantly feel like a big-muscle-chad standing next to the biggest weirdo i've ever seen
How to make your own internet connected t-shirt with LEDs that respond to realtime data,so cool!
How to make your own internet connected t-shirt with LEDs that respond to realtime data,Hey this is pretty cool.  I could see a highschool robotics team using something like this for their team jerseys.
Need Help - Chicken Farm Environment Monitoring,"It sounds like your solution is still quite bespoke - and given the amount of COTS sensors and transmitters you're using, it seems like it would be quite expensive.  Why not hire a decent electrical engineer and production specialist in China and just go into manufacture?  You'll spend money up front, but long term you'll actually have a product."
Need Help - Chicken Farm Environment Monitoring,Hmmm check out Monnit’s stuff and see if they have the sensors you need.  They have some sensors that work over the ISM bands so they’re energy efficient. Those get paired to a gateway that acts as a cellular back haul.
Need Help - Chicken Farm Environment Monitoring,"https://www.poultrysenseltd.com/

Just for reference, they also weigh chicks."
I need to implement hundreds(500+ in 12 months) of RS232 reading devices,"A Raspberry Pi 3 ([https://www.amazon.com/s?k=raspberry+pi+3&ref=nb\_sb\_noss\_1](https://www.amazon.com/s?k=raspberry+pi+3&ref=nb_sb_noss_1)) and a serial HAT ([https://www.pishop.us/product/serial-hat-rs232/](https://www.pishop.us/product/serial-hat-rs232/)), pre-configured with a Node or Python program to take the Serial data, format it to your liking, and send it out to your service.  You should be able to either find or create a custom case and it becomes a 'plug & play' black box for your customers."
I need to implement hundreds(500+ in 12 months) of RS232 reading devices,"FWIW I think you should pursue multiple network options in parallel, but I recommend looking into cellular for your network choice. 

Needing to create a plug-and-play device because there’s a NAT or a 3rd party operator install is one of the reasons people choose to go that route."
CoAP protocol: Technical description,That's really cool! Are you planning on doing a post doing a short demo of it? It would be cool if you included the OBSERVE also!
Anybody knows RAKwireless? They just released a new LPWAN concentrator module with SX1302.,"Yes, I have met them at multiple conferences and I own one of their previous concentrator boards."
Platform for collecting and pushing data from and to IoT devices,Check out AWS IoT
Platform for collecting and pushing data from and to IoT devices,"If it is a big scale project, HTTP is going to be costly overhead , use MQTT

Have a look at open-source mozilla iot gateway"
Platform for collecting and pushing data from and to IoT devices,MQTT is perfect for this.
Platform for collecting and pushing data from and to IoT devices,"I have a similar home automation setup that I created using Django on heroku. My esp8266 devices post data to the server using http.

This allows me to store the data in a database and show it in dashboards on my website.

Typically Http is more resource intensive than mqtt; however, if your sensors are in deep sleep and being powered on infrequently it won't really matter"
Platform for collecting and pushing data from and to IoT devices,"For sure when it comes to IOT, event is your friend instead of a POST on a specific endpoint.

Queueing your events will isolate the production of events to their ingestion. MQTT is a well known protocol for that.

Every cloud providers (and most big network providers) now have some sort of IOT platform. depends on your money and the finality of your project. Is it a home usage project ? a product to be commercialised ?

You also have compagnies having already a solution out of the box where you can buy a license."
Platform for collecting and pushing data from and to IoT devices,"If you want to stick with something nice and RESTful like HTTP, CoAP is a really nice protocol. Have also heard good stuff about IFTTT from friends in terms of something to get your data to the right places. Alternatively, something like Flask + MongoDB is super easy to set up. I can DM tutorials if you want."
Platform for collecting and pushing data from and to IoT devices,"You can do it with MQTT, node js and mongo db for storing your data. But I will suggest you use any platform. That will be convenient. I've personally tried https://particle.io and https://grandeur.tech although Google and Amazon offer the same services but they're too difficult to configure."
Platform for collecting and pushing data from and to IoT devices,"you can get free data and cloud usage for small quantities like this on AWS, Azure, Google cloud. No need to home brew up something custom"
Platform for collecting and pushing data from and to IoT devices,"Sorry if this is random, but i spent a bit of time building an online endpoint to play with my devices (and send them commends).
Feel free to use it. And pm me if you have any questions.
http://demo.iotmicrocloud.com/"
Platform for collecting and pushing data from and to IoT devices,You could also look at Node-RED.
Platform for collecting and pushing data from and to IoT devices,Check if this can help [http://fadyanwar.com/index.php/2020/05/08/an-aiot-example-using-raspberry-pi-and-azure-ai/](http://fadyanwar.com/index.php/2020/05/08/an-aiot-example-using-raspberry-pi-and-azure-ai/)
Does rain affect Lorawan signals?,"Short answer for wireless will always be yes. 
For specifics, run your own test in target environment or look for papers (for example https://www.researchgate.net/publication/331583787_Measuring_Environmental_Effects_on_LoRa_Radios_in_Cold_Weather_Using_915_MHz p.44)."
Does rain affect Lorawan signals?,"In South Africa we have an uncapped 4G offering called Rain LTE, and ironically it loses quality whenever it rains."
Does rain affect Lorawan signals?,"Anything that your LoRA signal has to pass through to be received will degrade the signal.  If it has to pass through 10 rain drops, that won't be much of a signal loss.....if its a thunder storm and it has to pass through 10's of thousands of rain drops, then yeah, the signal will suffer."
LoRa for audio,"IIRC the FCC duty cycle for that frequency is around 1%. My guess is that this application would exceed that, yes?"
LoRa for audio,"https://www.iotsoundsensor.com/
and its datasheet

https://www.iotsoundsensor.com/wp-content/uploads/2020/03/Datasheet-Version-2.2-IoT-SoundSensor%E2%84%A2-V3.02.pdf"
LoRa for audio,"We've tried this for our audio based device - at the compression rates required for low bandwidth transmission (<8kbps) you need to have a decently powerful processor (i.e. high end smartphone or laptop). It made it hard to do for a small cheap mobile device like ours  but if you're doing fixed point probably a lot easier. 

Overall capacity of simultaneous calls will also be a challenge if you are doing more than just point to point. Happy to discuss more over DM."
Alarm clock that can store some music and configurable by bluetooth,"If you want something simple, you could use an ESP8266 or ESP32 and an SD card MP3 player module - and connect it to WiFi. All you need to configure it would be a browser.

Or you can make it complicated and use the Bluetooth of the ESP32, and create an app for Android, ios and/or Windows/Linux/Mac."
Vibration sensor,Sounds like you need a microphone.
Vibration sensor,I would use an esp8266 wemos and a mpu6050 break-out module.  They are cheap and easy to get working with the arduino toolchain and libraries.    Youtube has videos explaining how to use a mpu6050 with an arduino MCU.
Vibration sensor,Have a look at petasense
"AMAZING ARTICLE ON COVID-19 and IoT, Drones, AI, Blockchain, 5G to combat it !!!","Why the haters down voting this article?  (I'll admit that I had a negative reaction to the title, but then I read it).

But this is **not** a breathless paid-by-the-word clickbait article trying to insinuate that ""IoT, Drones, AI, Blockchain, and 5G will solve COVID-19!"".

This is an academic survey that simply lists ways that technology **has been used** to fight COVID-19, plus a few ways we **might** use it in the future. It's very well researched with a nice primer on COVID-19 (everyone should be forced to read), plus great diagrams walking you thru the technology."
"AMAZING ARTICLE ON COVID-19 and IoT, Drones, AI, Blockchain, 5G to combat it !!!","How can 5G combat Covid-19 when it created it in the firstplace...?!? 
Is this some sort of an advanced version of “fighting fire with fire” that I am too boomer to understand? /s"
"AMAZING ARTICLE ON COVID-19 and IoT, Drones, AI, Blockchain, 5G to combat it !!!",To be honest guys I’m not convinced covid 19 will be around long enough to have any lasting effects on technology . We are about 2 riots away from it being gone all together . I honestly feel bad for all the funded projects right now that are going to come up to their second investment cycles and come up completely flat and die. *shrug*
"AMAZING ARTICLE ON COVID-19 and IoT, Drones, AI, Blockchain, 5G to combat it !!!","An amazing read. I obviously didn't read the whole thing, it was too long. But the sections I read were quite informative. I knew that drones and robots are being used in many countries, I was amazed to find out how many countries are using even Blockchain and AI."
Virtual IOT device,"Yes, you can.  Do you have a spare computer, or maybe a USB stick you're willing to boot from?

Can you be a lot more specific about what you are trying to accomplish?

I work for a corporation with resources but I also have this issue.  Resources are always fought over.  I could easily spool up tons of machines in the cloud, but the cloud bill would be astronomical.  So what I did instead was buy some de-commisioned servers available on eBay/Amazon for extraordinary low prices.  That gives me lots of cores and memory to divide up among my fake IOT devices.  I'm putting open source virtualization software on there that allows me to create many virtual machines on one server.  And then I can image and duplicate my app many times through compiled scripts or other mechanisms.  I'd show my work if I had any, this is on my to-do list to finish.

Here's one example of an IOT device that can be virtualized in Linux - FreeRTOS.  It's an embedded operating system that is used in many commercial products and has a lot of integration features for the AWS IOT management environment as well as standard IOT communications features like TLS, MQTT.

Many others I've seen are running Debian Linux distributions and can be virtualized easily on any hardware.

One things for sure, there are plenty of vulnerabilities for you to find in your pen testing.  I'm not even trying and I find new ones weekly in the products I'm using.  It's extremely disappointing."
Virtual IOT device,"I want to study Apes.

But I don't have the time, nor the money for that. 

So I've decided to do my research with [Donkey Kong](https://en.wikipedia.org/wiki/Donkey_Kong_(video_game)). **Problem solved!**

&#x200B;

Seriously, though, IOT is such a wide field.  There are so many different IOT operating systems out there that there is no way to list them all, let alone study them all.

You should work backwards: What is it you are trying to accomplish? Help homeowners who have cheap Chinese webcams? Help enterprises buying name-brand networked thermostats?  Use first principles to narrow down the giant field of IOT to a handful of devices. Now go download their firmware, try to get them working in emulators (few are using x86, so qemu is your friend), reverse engineer them, etc.  Come up with some theoretical attacks, then buy one or two real devices and validate your hypothesis."
Virtual IOT device,"Virtualization of IoT device could be at multiple levels. You could virtualize the hardware and sensors or you could abstract away the hardware and simply create a functional model. At IoTIFY.io we do both in terms of virtual lab and network simulator.

If you are looking for something completely free, try qemu or Contiki Cooja simulator."
Virtual IOT device,You will need to provide a little more detail. If it's software and API calls and the likes you can stub endpoints with a handful of lines of Python and Flask or FastAPI
Virtual IOT device,"An IOT device could just be a windows machine. Perhaps running node red. This sort of thing is relatively common.  You could simulate the attack on the node Red server (not an unreasonable target).

The server could checking weather and temperature via some APIs (easy to implement) and perhaps opening and closing windows , blinds etc. You could just represent those things as dashboard elements in Node red."
Contact Tracing in the context of COVID-19,Why not use mobile phones?
Contact Tracing in the context of COVID-19,"Something interesting for you, unfortunately I couldn't find an English source: https://vorarlberg.orf.at/stories/3043429/

Basically, the product Safedi by the company Heron aims to do something similar along the lines of what you have mentioned."
WARNING: The real issue behind 5G: Privacy + Control,"What utter garbage.... This isn't IOT related.  Reported.

Oh, BTW, All of this can be done with 3G or 4G....the only thing new about 5G is network speed and throughput. Take your #FakeNews elsewhere please.

\-- JD

\-- FCC License: KD7SEE"
WARNING: The real issue behind 5G: Privacy + Control,"Can't stop Technological Progress, Bro. If you can't beat 'em, join 'em. Embrace the future."
"Ring, Nest, SimpliSafe and eight other manufacturers of internet-connected doorbell and security cameras have been alerted to ""systemic design flaws"" discovered by Florida Tech computer science student Blake Janes.",.. science student Blake Janes that allows a shared account that appears to have been removed to actually remain in place with continued access to the video feed.
"Ring, Nest, SimpliSafe and eight other manufacturers of internet-connected doorbell and security cameras have been alerted to ""systemic design flaws"" discovered by Florida Tech computer science student Blake Janes.","Tech reporting was barely coherent. Here’s the quote from the actual paper about the vulnerability:

> To illustrate this problem, researchers found that Ring doorbells failed to enforce a proper authentication scheme for multiple users that shared a single account [5]. They discovered that when a device owner changed the password, Ring did not immediately force other users to re-authenticate. Instead, users with a current session could remain connected indefinitely without having to enter the new credentials."
A Comprehensive Guide to Start Building an IoT Product,"#### Very nice article! I'd like to mention to you the Zephyr Project, it can serve as an alternative RTOS and has some nice straights when compared with other alternatives (such as vendor support).

#### Take a look, it might be worth mentioning in a future article."
A Comprehensive Guide to Start Building an IoT Product," There is a significant rise in the demand for [Internet of Things course in Singapore](https://globalicttraining.com/internet-of-things-training-certification/) or rather worldwide. With the emergence of sensors technology and the advances in communication technologies and cloud computing, we are moving towards a new computing paradigm, which will involve trillions of connected devices – Internet of Things (IoT). IoT will transform and it requires rethinking of how we compute today."
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?",What are you selling?
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?",to keep people awake record audio from the actual machines and play that (screeching) between ppt slides
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?","I'm not too familiar with the manufacturing sector, but from my experience, if you want to ensure people are following along, you need to find a golden formula of presentation:

* Have a good presentation
* Enthusiastic without sounding like a salesman 
* Show domain knowledge of the subject matter 
* Don't speak to the crowd, speak to the person 

The first one is really easy, but a lot of presenters just get it wrong. The introvert will make a blank powerpoint template with bullet points and monotonely iterate the bullet points whilst the extrovert will be too brief and talk so much the audience loses interest. A good presentation should have a mix of fun content and serious content. A golden rule is: Tell them what you're going to tell them, tell them, tell them what you told them. 

The second one is HARD, and even after hosting numerous webinars and presentations, i still struggle with sometimes feeling like i'm selling something i'm not. So far, what's worked best is: Always smile when talking, be genuinely interested and expose your interests, ask rhetorical open-ended questions. 

Third is also really important, do some research on your audience and frame your cases in ways that are relevant to them. If you have a large audience of a single sector, try throwing in some more advanced terms that they use in their daily lingo but isn't usually used by anyone else. Interest will peak! Also make sure you're confident when you talk, don't stutter, DO NOT SAY ""ehhhh"". 

Lastly, make sure to use words like ""when you're"", ""for you"", and so forth. A great presentation is when the audience leaves feeling as if they've been part of the conversation. Nevermind that they haven't contributed, by framing your words as if you're talking to them you instantly build a near and personal connection. 

&#x200B;

I have no idea about your audience, but i tried to envision myself giving a presentation on this, and i would probably do something like this:

I would start by dropping a bomb on them, blow their minds by going straight to a case where automation increased productivity and worker efficiency and happiness (no need to talk about price). Talk about how automation made positive change. 

Then i would probably dive deeper into that case by talking about the specific things they did, and what other things they could do. I would also mention using cloud machine learning for predictive maintenance \[1\] and just how easy and approachable it is. 

Then i would talk about what digitalization and automation means for the actual people who work there, how dashboards that are fed IoT sensor data from the cloud mean workers can check their dashboards before they go to bed or whilst sipping mojitos on the beach, how digital forms can increase worker liability safety and help with saving time and efficiency. I would talk strictly about people and not business.

Then, I i would maybe focus heavily on your last point about custom solutions vs. enterprise software, how those two can not only coexist, but how custom solutions can increase the value of existing enterprise software (and even replace it altogether). How cloud collaboration tools can increase productivity and lower costs. 

Then i would do the sales pitch (i assume that's why you're doing this, not just of enthusiasm?) 

&#x200B;

I'd love to see the webinar, feel free to DM me a link if you want  :) 

\[1\] [https://max.thyssenkrupp-elevator.com/assets/pdf/TK-Elevator-MAX-Brochure\_EN.pdf](https://max.thyssenkrupp-elevator.com/assets/pdf/TK-Elevator-MAX-Brochure_EN.pdf)"
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?","The topic is pretty broad because in some sense, every IoT and software company is digitizing or automating _something_. 

For IoT specifically I’d break this down into different application areas or verticals. i.e. what’s happening in smart agriculture vs. warehouses vs. manufacturing facilities vs. logistics, etc. 

You’ll see everything from extremely low powered, cost effective GPS tracking to expensive autonomous robots."
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?","Jumping to the conclusion that a custom solution is always better than enterprise software could lose your audience.  There are many factors that lead to “build vs buy”.  I assume by this bullet that you work for a custom solution provider?  If this is a general discussion of what digitization for manufacturing means then I would put that bias aside and offer the audience a balanced approach to this very important question, and highlight the pros and cons. If for this customer the custom solution IS the best approach then the facts will speak for themselves and you can highlight why.   You’ll gain much more credibility and confidence from your audience with this approach."
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?","Hi I sell industrial automation equipment, focusing on digitilization for OEMs, pm me.  Interested in bouncing ideas off one another"
"I have requested to do a webinar about digitalization for manufacturing companies, what to talk about, so people don't fall asleep?","First question will be on cost, the second will be about scale. My opinion is that there’s a huge market for change management in the manufacturing sector because you have a wide range of skills that may or may not have to do with technology. 

Think about forklift drivers, labourers, and managers who only have a bit of experience using Excel (which often times they hate). How do you train and onboard the folks who don’t want their jobs to be more complex even though you’re trying to make things easier for them?"
Home Assistant Calendar with Google Calendar and Automations,Sounds good
[LA/DC] A new era of IoT,Is this the new season of Silicon Valley?
[LA/DC] A new era of IoT,You want to create a new internet? Crazy talk. Prove me wrong :)
[LA/DC] A new era of IoT,Helium?
[LA/DC] A new era of IoT,What's the point of this post?
Looking for interview partner to help with research,"Not sure if will be able to help, but feel free to send me a pm and we can chat. I'd be happy to help if my experience is what you are looking for."
Looking for interview partner to help with research,You can hit me up with a PM as well.
